title,year,rating,actors,director,vulgarities,sentiment,subjectivity,asshole,bastard,bitch,cunt,dick,faggot,fuck,nigger,shit,slut
Rain Man,1988-01-01,90,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen",Barry Levinson,3,0.11275605385568901,0.508538093134083,0,0,1,0,0,0,1,0,1,0
Driving Miss Daisy,1989-01-01,81,"Jessica Tandy, Morgan Freeman, Dan Aykroyd, Patti LuPone",Bruce Beresford,1,0.12345404253655401,0.5351610684061421,0,0,0,0,0,0,0,1,0,0
Dances With Wolves,1990-01-01,83,"Kevin Costner, Mary McDonnell, Graham Greene (II), Rodney A. Grant",Kevin Costner,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
The Silence of the Lambs,1991-01-01,96,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine",Jonathan Demme,14,0.10735628147362801,0.49311084607002903,1,0,1,0,0,0,10,0,2,0
Unforgiven,1992-01-01,96,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris",Clint Eastwood,19,0.012151132302734001,0.48363301839274303,0,2,6,0,2,0,4,0,5,0
Schindler's List,1993-01-01,97,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall",Steven Spielberg,9,0.140192503322863,0.500989860625366,0,0,1,0,0,0,8,0,0,0
Forrest Gump,1994-01-01,70,"Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson",Robert Zemeckis,11,0.120823822147351,0.5205374418609711,0,0,4,0,0,0,3,0,4,0
Braveheart,1995-01-01,77,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack",Mel Gibson,2,0.10415288754738201,0.49062571984590303,0,1,0,0,0,0,1,0,0,0
The English Patient,1996-01-01,85,"Ralph Fiennes, Juliette Binoche, Willem Dafoe, Kristin Scott Thomas",Anthony Minghella,7,0.067072147577765,0.501034187930255,1,1,0,0,1,0,3,0,1,0
Titanic,1997-01-01,89,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates",James Cameron,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Shakespeare in Love,1998-01-01,92,"Gwyneth Paltrow, Joseph Fiennes, Geoffrey Rush, Colin Firth",John Madden (II),0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
American Beauty,1999-01-01,87,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",Sam Mendes,27,0.067474761873346,0.526722774081265,1,0,2,0,3,0,17,0,3,1
Gladiator,2000-01-01,76,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",Ridley Scott,2,0.162354884031566,0.523298929969603,0,0,1,0,0,0,0,0,1,0
A Beautiful Mind,2001-01-01,74,"Russell Crowe, Jennifer Connelly, Ed Harris, Christopher Plummer",Ron Howard,2,0.10357754045770501,0.51638633233158,0,0,0,0,0,0,0,0,2,0
Chicago,2002-01-01,86,"Renée Zellweger, Catherine Zeta-Jones, Richard Gere, Queen Latifah",Rob Marshall,10,0.10066576758206701,0.5546906764307641,0,4,3,0,0,0,0,0,3,0
The Lord of the Rings: The Return of the King,2003-01-01,93,"Elijah Wood, Sean Astin, Ian McKellen, Andy Serkis",Peter Jackson,0,0.082079685943322,0.503932081432081,0,0,0,0,0,0,0,0,0,0
Million Dollar Baby,2004-01-01,91,"Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel",Clint Eastwood,2,0.11912932583985202,0.46927435381382704,0,0,0,0,1,0,0,0,1,0
Crash,2004-01-01,74,"Sandra Bullock, Don Cheadle, Matt Dillon, Jennifer Esposito",Paul Haggis,71,0.024460412845158003,0.5108055641157341,0,0,0,0,0,0,60,6,5,0
The Departed,2006-01-01,91,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",Martin Scorsese,244,-0.049483136470663006,0.5576667355300781,1,3,1,3,1,1,220,1,13,0
No Country for Old Men,2007-01-01,93,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",Joel Coen,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Slumdog Millionaire,2008-01-01,91,"Dev Patel, Freida Pinto, Madhur Mittal, Anil Kapoor",Danny Boyle,8,0.12439254056600901,0.46481313376721506,0,1,1,0,0,0,3,0,3,0
The Hurt Locker,2009-01-01,97,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce",Kathryn Bigelow,58,0.060884574362835,0.5268923955929881,0,1,2,0,2,0,39,1,13,0
The King's Speech,2010-01-01,95,"Colin Firth, Helena Bonham Carter, Geoffrey Rush, Derek Jacobi",Tom Hooper,20,0.059250432955202006,0.559793179225745,0,1,0,0,0,0,11,0,8,0
The Artist,2011-01-01,95,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell",Michel Hazanavicius,0,-0.004868398268398,0.497625541125541,0,0,0,0,0,0,0,0,0,0
Argo,2012-01-01,96,"Ben Affleck, Alan Arkin, John Goodman, Bryan Cranston",Ben Affleck,24,0.066053027296777,0.47378828763828706,0,0,1,0,1,0,18,0,4,0
12 Years a Slave,2013-01-01,95,"Chiwetel Ejiofor, Michael Fassbender, Benedict Cumberbatch, Paul Giamatti",Steve McQueen (III),35,0.104785949344773,0.527275163190938,0,0,1,0,0,0,0,34,0,0
Birdman,2014-01-01,91,"Michael Keaton, Edward Norton, Zach Galifianakis, Emma Stone",Alejandro González Iñárritu,86,0.042897431134371,0.573865197820422,2,1,1,0,0,0,66,0,16,0
Spotlight,2015-01-01,97,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber",Tom McCarthy,14,0.112620214201383,0.46704738010906804,0,0,0,0,0,0,5,0,9,0
Moonlight,2016-01-01,98,"Naomie Harris, André Holland, Mahershala Ali, Janelle Monáe",Barry Jenkins (III),74,0.049116887263439005,0.529248768472906,0,0,5,0,0,6,21,20,22,0
The Shape of Water,2017-01-01,92,"Sally Hawkins, Michael Shannon, Richard Jenkins, Doug Jones",Guillermo del Toro,10,0.09937317516538201,0.500082232341972,0,0,0,0,0,0,6,0,4,0
Green Book,2018-01-01,78,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Don Stark",Peter Farrelly,7,0.146575014418616,0.5067687723019471,1,0,0,0,0,0,2,2,2,0
Parasite (Gisaengchung),2019-01-01,99,"Song Kang Ho, Lee Sun Kyun, Yeo-Jeong Jo, Choi Woo-sik",Bong Joon Ho,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
